定期券（回数券）ID,組合員番号,前受金額,学年,追加回数,合計申込回数,利用総額,利用回数,コース順位,全体順位,コース数
917601887 ,891760000011 ,140000,4年,,,51191,77,50,1099,749
917601886 ,891760000178 ,220000,4年,,,104761,153,16,326,433
917601887 ,891760000518 ,140000,4年,,,58689,77,42,969,749
917601887 ,891760000607 ,140000,4年,,,57882,82,43,987,749
917601887 ,891760000895 ,140000,4年,,,61579,98,37,894,749
917601887 ,891760002634 ,140000,4年,,,65276,101,35,796,749
917601887 ,891760002723 ,140000,4年,,,75868,131,25,485,749
917601887 ,891760003312 ,140000,4年,,,58910,76,41,964,749
917601885 ,891760003517 ,295000,4年,,,72108,86,29,592,57
917601886 ,891760003827 ,220000,4年,,,63844,93,36,833,433
917601887 ,891760003843 ,140000,4年,,,53123,69,49,1072,749
917601887 ,891760004441 ,140000,4年,,,47990,70,52,1136,749
917601886 ,891760004521 ,220000,4年,,,85377,126,20,420,433
917601887 ,891760004530 ,140000,4年,,,70065,94,31,646,749
917601887 ,891760004548 ,140000,4年,,,65648,83,34,785,749
917601887 ,891760005358 ,140000,4年,,,34806,66,54,1209,749
917601886 ,891760005676 ,220000,大学院生,,,111906,147,13,271,433
917601887 ,891760006273 ,140000,4年,,,25502,37,56,1223,749
917601886 ,891760006630 ,220000,4年,,,81114,125,21,430,433
917601886 ,891760007229 ,220000,4年,,,117159,132,10,212,433
917601886 ,891760007261 ,220000,4年,,,122250,178,6,153,433
917601887 ,891760007415 ,140000,4年,,,54226,76,46,1055,749
917601886 ,891760007474 ,220000,4年,,,118428,157,9,201,433
917601887 ,891760007512 ,140000,4年,,,79095,100,22,441,749
917601887 ,891760007571 ,140000,4年,,,55610,88,45,1027,749
917601887 ,891760007652 ,140000,4年,,,59702,125,40,939,749
917601887 ,891760007679 ,140000,4年,,,43412,58,53,1171,749
917601887 ,891760007954 ,140000,4年,,,50377,71,51,1107,749
917601887 ,891760007971 ,140000,4年,,,60821,80,38,908,749
917601887 ,891760008055 ,140000,4年,,,69514,95,32,668,749
917601887 ,891760008152 ,140000,4年,,,34204,45,55,1211,749
917601887 ,891760008268 ,140000,4年,,,68688,95,33,691,749
917601886 ,891760008357 ,220000,4年,,,76643,126,24,469,433
917601887 ,891760008365 ,140000,4年,,,56325,75,44,1017,749
917601885 ,891760008420 ,295000,4年,,,159570,163,3,19,57
917601887 ,891760008438 ,140000,4年,,,72794,104,26,566,749
917601886 ,891760008489 ,220000,4年,,,96563,112,18,377,433
917601886 ,891760008497 ,220000,4年,,,123325,172,4,135,433
917601886 ,891760008616 ,220000,4年,,,109888,103,14,290,433
917601886 ,891760008632 ,220000,4年,,,121953,119,7,158,433
917601885 ,891760008781 ,295000,4年,,,116930,180,12,217,57
917601886 ,891760008799 ,220000,4年,,,106304,110,15,317,433
917601887 ,891760008829 ,140000,4年,,,54175,74,48,1058,749
917601885 ,891760009159 ,295000,4年,,,160589,186,2,18,57
917601887 ,891760009167 ,140000,4年,,,7469,12,57,1237,749
917601885 ,891760009183 ,295000,4年,,,161627,246,1,15,57
917601886 ,891760009264 ,220000,4年,,,122557,137,5,148,433
917601887 ,891760009361 ,140000,4年,,,54211,76,47,1056,749
917601886 ,891760009469 ,220000,4年,,,87466,133,19,413,433
917601886 ,891760009566 ,220000,4年,,,117093,187,11,215,433
917601887 ,891760009621 ,140000,4年,,,60423,79,39,919,749
917601887 ,891760009671 ,140000,4年,,,72664,121,27,572,749
917601886 ,891760009728 ,220000,4年,,,104358,108,17,329,433
917601887 ,891760009841 ,140000,4年,,,78290,106,23,448,749
917601887 ,891760009884 ,140000,4年,,,72143,93,28,589,749
917601885 ,891760010017 ,295000,4年,,,121397,143,8,167,57
917601886 ,891760010157 ,220000,4年,,,71671,101,30,602,433
917601887 ,891760010181 ,140000,4年,,,54245,81,363,1054,749
917601887 ,891760010998 ,140000,4年,,,54622,71,360,1049,749
917601887 ,891760011315 ,140000,4年,,,41498,53,414,1185,749
917601887 ,891760011471 ,140000,4年,,,50341,86,386,1108,749
917601886 ,891760011641 ,220000,4年,,,104909,98,96,324,433
917601887 ,891760011668 ,140000,4年,,,35301,52,422,1206,749
917601886 ,891760011722 ,220000,4年,,,55466,56,353,1029,433
917601886 ,891760011811 ,220000,4年,,,74776,80,153,510,433
917601887 ,891760012176 ,140000,4年,,,72602,93,174,573,749
917601886 ,891760012231 ,220000,4年,,,80727,110,127,434,433
917601886 ,891760012257 ,220000,4年,,,102703,129,100,342,433
917601887 ,891760012273 ,140000,4年,,,68930,99,220,683,749
917601885 ,891760012311 ,295000,4年,,,151000,152,8,29,57
917601886 ,891760012460 ,220000,4年,,,119941,181,46,184,433
917601886 ,891760012559 ,220000,4年,,,51957,78,375,1085,433
917601887 ,891760012621 ,140000,4年,,,58490,85,336,973,749
917601887 ,891760012672 ,140000,4年,,,54311,82,361,1052,749
917601887 ,891760012681 ,140000,4年,,,55115,72,357,1039,749
917601887 ,891760012796 ,140000,4年,,,53588,86,367,1066,749
917601886 ,891760012800 ,220000,4年,,,99551,96,109,361,433
917601887 ,891760012826 ,140000,4年,,,70548,110,198,632,749
917601886 ,891760012958 ,220000,4年,,,112278,159,75,267,433
917601887 ,891760012966 ,140000,4年,,,31538,42,427,1217,749
917601886 ,891760013041 ,220000,4年,,,118699,105,52,197,433
917601887 ,891760013156 ,140000,4年,,,48327,64,395,1130,749
917601887 ,891760013202 ,140000,4年,,,77498,111,134,452,749
917601886 ,891760013229 ,220000,4年,,,81850,82,126,429,433
917601886 ,891760013482 ,220000,4年,,,95609,112,114,384,433
917601886 ,891760013571 ,220000,4年,,,107684,91,87,304,433
917601886 ,891760013687 ,220000,4年,,,99321,91,110,363,433
917601886 ,891760013695 ,220000,4年,,,99635,157,107,359,433
917601886 ,891760014004 ,220000,4年,,,77184,115,137,458,433
917601887 ,891760014080 ,140000,4年,,,67130,151,244,739,749
917601887 ,891760014110 ,140000,4年,,,61397,89,308,900,749
917601887 ,891760014144 ,140000,4年,,,39154,65,418,1198,749
917601887 ,891760014152 ,140000,4年,,,64629,87,268,810,749
917601886 ,891760014322 ,220000,4年,,,127860,171,22,80,433
917601886 ,891760014781 ,220000,4年,,,106341,100,91,316,433
917601886 ,891760014799 ,220000,4年,,,102444,132,101,344,433
917601886 ,891760014802 ,220000,4年,,,106116,104,93,319,433
917601887 ,891760014888 ,140000,4年,,,58005,76,339,981,749
917601887 ,891760015221 ,140000,4年,,,48006,70,396,1135,749
917601887 ,891760015442 ,140000,4年,,,51601,69,379,1094,749
917601886 ,891760015671 ,220000,4年,,,106221,94,92,318,433
917601886 ,891760015817 ,220000,4年,,,65595,107,261,787,433
917601886 ,891760015876 ,220000,4年,,,115880,103,63,231,433
917601886 ,891760016163 ,220000,4年,,,87000,88,121,415,433
917601887 ,891760016236 ,140000,4年,,,73713,110,165,540,749
917601887 ,891760016554 ,140000,4年,,,68860,89,223,686,749
917601886 ,891760017216 ,220000,4年,,,92772,144,116,395,433
917601887 ,891760017585 ,140000,4年,,,70387,116,201,636,749
917601887 ,891760017941 ,140000,4年,,,68598,102,229,697,749
917601887 ,891760018395 ,140000,4年,,,63537,132,284,848,749
917601887 ,891760018662 ,140000,4年,,,59638,78,322,940,749
917601887 ,891760018689 ,140000,4年,,,42962,58,410,1174,749
917601887 ,891760018701 ,140000,4年,,,47132,65,399,1141,749
917601887 ,891760018727 ,140000,4年,,,74785,148,152,509,749
917601886 ,891760018735 ,220000,4年,,,125685,182,27,99,433
917601886 ,891760018743 ,220000,4年,,,107416,97,88,307,433
917601887 ,891760018794 ,140000,4年,,,10976,15,432,1233,749
917601886 ,891760018859 ,220000,4年,,,110055,161,83,289,433
917601887 ,891760018905 ,140000,4年,,,73260,93,168,551,749
917601887 ,891760018948 ,140000,4年,,,54207,95,364,1057,749
917601887 ,891760018999 ,140000,4年,,,66553,84,249,758,749
917601887 ,891760019022 ,140000,4年,,,59394,80,324,946,749
917601887 ,891760019383 ,140000,4年,,,74348,95,159,522,749
917601886 ,891760019405 ,220000,4年,,,68106,59,233,711,433
917601887 ,891760019499 ,140000,4年,,,65920,88,255,773,749
917601887 ,891760019758 ,140000,4年,,,66752,94,246,754,749
917601886 ,891760019766 ,220000,4年,,,116155,110,62,229,433
917601886 ,891760019782 ,220000,4年,,,70137,75,206,644,433
917601886 ,891760019812 ,220000,4年,,,117895,177,54,203,433
917601886 ,891760019995 ,220000,4年,,,126126,190,25,93,433
917601887 ,891760020063 ,140000,4年,,,51670,107,378,1092,749
917601887 ,891760020322 ,140000,4年,,,62801,79,290,864,749
917601887 ,891760020365 ,140000,4年,,,55299,70,356,1037,749
917601886 ,891760020373 ,220000,4年,,,71129,103,193,618,433
917601887 ,891760020446 ,140000,4年,,,76732,98,143,467,749
917601886 ,891760020497 ,220000,4年,,,101651,127,104,352,433
917601886 ,891760020535 ,220000,4年,,,122414,192,38,150,433
